,Ensembl transcript ID,SL with MS evidence
509,ENST00000636886,m
510,ENST00000636886,m
511,ENST00000636886,m
512,ENST00000636886,m
513,ENST00000636886,c
514,ENST00000636886,c
515,ENST00000636886,c
516,ENST00000636886,c
517,ENST00000636886,c
518,ENST00000636886,m
519,ENST00000636886,c
520,ENST00000636886,m
521,ENST00000636886,c
522,ENST00000343289,c
523,ENST00000334482,c
524,ENST00000524491,c
525,ENST00000326739,c
526,ENST00000439502,m
527,ENST00000439502,c
528,ENST00000219302,c
529,ENST00000540617,c
530,ENST00000521811,c
531,ENST00000356962,c
532,ENST00000480861,c
533,ENST00000539282,c
534,ENST00000373176,c
535,ENST00000563498,c
536,ENST00000393896,c
537,ENST00000369409,c
538,ENST00000536880,c
539,ENST00000403525,c
540,ENST00000403525,c
541,ENST00000403525,c
542,ENST00000403525,c
543,ENST00000403525,c
544,ENST00000403525,c
545,ENST00000403525,c
546,ENST00000503229,c
547,ENST00000510194,c
548,ENST00000450168,c
549,ENST00000450168,c
550,ENST00000269980,m
551,ENST00000361093,c
552,ENST00000359794,c
553,ENST00000636836,c
554,ENST00000526950,c
555,ENST00000519602,c
556,ENST00000427190,c
557,ENST00000367321,c
558,ENST00000261507,c
559,ENST00000261507,c
560,ENST00000261507,c
561,ENST00000261507,c
562,ENST00000261507,c
563,ENST00000261507,c
564,ENST00000261507,c
565,ENST00000261507,c
566,ENST00000261507,c
567,ENST00000506618,c
568,ENST00000613852,c
569,ENST00000320717,m
570,ENST00000320717,c
571,ENST00000540265,c
572,ENST00000378720,c
573,ENST00000306749,c
574,ENST00000306749,c
575,ENST00000306749,c
576,ENST00000306749,c
577,ENST00000306749,c
578,ENST00000306749,c
579,ENST00000306749,c
580,ENST00000545045,c
581,ENST00000263774,m
582,ENST00000263774,m
583,ENST00000176643,c
584,ENST00000558813,c
585,ENST00000557370,c
586,ENST00000535926,c
587,ENST00000535926,c
588,ENST00000354858,c
589,ENST00000354858,m
590,ENST00000368087,c
591,ENST00000327299,c
592,ENST00000567713,c
593,ENST00000620479,c
594,ENST00000620479,c
595,ENST00000397225,m
596,ENST00000370092,c
597,ENST00000370093,c
598,ENST00000338128,c
599,ENST00000405867,m
600,ENST00000449901,c
601,ENST00000467905,c
602,ENST00000467905,m
603,ENST00000446179,c
604,ENST00000446179,c
605,ENST00000446179,c
606,ENST00000446289,c
607,ENST00000252603,c
608,ENST00000554975,c
609,ENST00000551339,c
610,ENST00000368433,c
611,ENST00000368432,c
612,ENST00000561609,c
613,ENST00000377855,c
614,ENST00000540249,m
615,ENST00000354269,c
616,ENST00000245206,m
617,ENST00000551804,c
618,ENST00000538631,c
619,ENST00000333503,c
620,ENST00000635862,c
621,ENST00000457316,c
622,ENST00000381809,m
623,ENST00000417368,c
624,ENST00000417368,c
625,ENST00000417368,c
626,ENST00000417368,c
627,ENST00000570445,c
